entry,subentry,run,luminosityBlock,event,HLT_Dimuon10_Jpsi,HLT_Dimuon5_PsiPrime,HLT_Dimuon8_Jpsi,HLT_Dimuon9_PsiPrime,HLT_DoubleMu11_Acoplanarity03,HLT_DoubleMu3p5_LowMassNonResonant_Displaced,HLT_DoubleMu3p5_LowMass_Displaced,HLT_DoubleMu4_Acoplanarity03,HLT_DoubleMu5_IsoMu5,HLT_L2DoubleMu23_NoVertex,HLT_L2DoubleMu23_NoVertex_2Cha_Angle2p5,HLT_L2DoubleMu38_NoVertex_2Cha_Angle2p5,HLT_Mu13_Mu8,HLT_Mu13_Mu8_NoDZ,HLT_Mu17,HLT_Mu17_Mu8,HLT_Mu17_TkMu8,HLT_Mu17_TkMu8_NoDZ,HLT_Mu22_TkMu22,HLT_Mu22_TkMu8,HLT_Mu8,HLT_TripleMu5,PV_npvs,PV_x,PV_y,PV_z,nMuon,Muon_pt,Muon_eta,Muon_phi,Muon_mass,Muon_charge,Muon_pfRelIso03_all,Muon_pfRelIso04_all,Muon_tightId,Muon_softId,Muon_dxy,Muon_dxyErr,Muon_dz,Muon_dzErr,Muon_jetIdx,Muon_genPartIdx
14266,0,195013,540,791346543,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,15,0.07472875,0.061946504,-2.9389753,2,10.556805,0.24498248,-0.5154386,0.10565837,-1,0.41514164,0.74161834,True,True,0.002156466,0.0021258986,0.0015611337,0.0044710203,-1,-1
14266,1,195013,540,791346543,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,15,0.07472875,0.061946504,-2.9389753,2,15.823685,-0.16940819,2.8819456,0.10565837,1,0.5570677,0.8808377,True,True,0.0040198388,0.00167419,0.0058918023,0.003943079,-1,-1
14267,0,195013,540,791290735,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True,False,True,True,False,False,19,0.07305305,0.06265218,8.897117,2,57.444027,-1.7146012,-1.3947229,0.10565837,1,0.0,0.0,True,True,-0.00052340963,0.0011759504,-0.0023732746,0.004501975,-1,-1
14267,1,195013,540,791290735,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True,False,True,True,False,False,19,0.07305305,0.06265218,8.897117,2,37.56561,-1.7101736,2.005117,0.10565837,-1,0.0,0.018712109,True,True,-3.6320787e-05,0.0019916678,-0.0016115207,0.0047057304,-1,-1
14268,0,195013,540,791364463,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True,False,True,True,False,False,14,0.075790845,0.06560942,3.1675515,2,54.27498,1.8764877,0.57341033,0.10565837,1,0.0,0.018525487,True,True,0.0028798045,0.002539004,0.00067414646,0.008776626,-1,-1
14268,1,195013,540,791364463,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True,False,True,True,False,False,14,0.075790845,0.06560942,3.1675515,2,40.59212,1.6639256,-1.9635576,0.10565837,-1,0.00550764,0.020650543,True,True,6.805966e-05,0.0010952626,0.0017174004,0.004122124,-1,-1
14269,0,195013,540,791329183,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,False,True,True,False,False,14,0.07316983,0.061533652,-0.5199584,2,29.944597,1.9018512,-1.432518,0.10565837,-1,0.0,0.0,True,True,0.00028440758,0.0022760069,-0.0040090443,0.0056679365,-1,-1
14269,1,195013,540,791329183,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,False,True,True,False,False,14,0.07316983,0.061533652,-0.5199584,2,29.66077,-0.18657294,2.0468802,0.10565837,1,0.055914506,0.11239102,True,True,0.00011959582,0.0008788082,-0.0003018358,0.0035156664,-1,-1
14271,0,195013,540,791400879,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,21,0.06949656,0.06399622,-3.9898543,4,19.737654,-1.8711361,-1.2646426,0.10565837,-1,1.5067675,1.5067675,True,True,-0.0044635436,0.002835724,0.19113827,0.00678011,-1,-1
14271,1,195013,540,791400879,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,21,0.06949656,0.06399622,-3.9898543,4,18.188831,-0.9439879,1.6541532,0.10565837,1,-999.0,-999.0,False,False,-0.0073472247,0.0395942,-0.14608143,0.4070128,-1,-1
14271,2,195013,540,791400879,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,21,0.06949656,0.06399622,-3.9898543,4,18.327276,-0.93112683,1.6553459,0.10565837,1,2.2373197,2.5508685,False,False,-999.0,-999.0,-999.0,-999.0,-1,-1
14271,3,195013,540,791400879,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,21,0.06949656,0.06399622,-3.9898543,4,8.678236,-0.8648724,1.7594929,0.10565837,1,-999.0,-999.0,False,False,-999.0,-999.0,-999.0,-999.0,-1,-1
14272,0,195013,540,791540063,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,14,0.07504944,0.06473966,3.484534,4,9.828476,2.1212237,-1.3727851,0.10565837,-1,1.0370039,1.5674118,True,True,-0.00818609,0.004443759,0.07157293,0.013379122,-1,-1
14272,1,195013,540,791540063,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,14,0.07504944,0.06473966,3.484534,4,14.320944,1.6273123,1.517568,0.10565837,1,2.765483,2.8516946,True,True,0.0023409815,0.0023625956,0.029959356,0.004894834,-1,-1
14272,2,195013,540,791540063,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,14,0.07504944,0.06473966,3.484534,4,10.752537,1.8057407,1.5566392,0.10565837,1,-999.0,-999.0,False,False,-999.0,-999.0,-999.0,-999.0,-1,-1
14272,3,195013,540,791540063,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,14,0.07504944,0.06473966,3.484534,4,4.1188703,2.2638078,-1.1404381,0.10565837,1,-999.0,-999.0,False,False,-999.0,-999.0,-999.0,-999.0,-1,-1
14273,0,195013,540,791557455,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,17,0.07384293,0.06657688,-2.1663103,2,26.617615,-1.1043276,-2.8522468,0.10565837,-1,0.0,0.020948455,True,True,0.0032863652,0.002391145,0.0023037333,0.005441142,-1,-1
14273,1,195013,540,791557455,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,17,0.07384293,0.06657688,-2.1663103,2,11.102059,-1.1069497,-2.8191974,0.10565837,1,0.0,0.050224725,True,True,-0.0020663014,0.0025119355,-0.008710531,0.00665129,-1,-1
14274,0,195013,540,791562479,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,21,0.074388355,0.06001282,0.25428134,4,16.484188,2.1804569,0.11943411,0.10565837,-1,1.4008268,1.5111009,True,True,-0.12341164,0.0019034238,0.1953552,0.00991932,-1,-1
14274,1,195013,540,791562479,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,21,0.074388355,0.06001282,0.25428134,4,4.60926,0.0590354,2.761915,0.10565837,1,-999.0,-999.0,False,False,-999.0,-999.0,-999.0,-999.0,-1,-1
14274,2,195013,540,791562479,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,21,0.074388355,0.06001282,0.25428134,4,3.7775722,2.2255394,-0.1610918,0.10565837,-1,-999.0,-999.0,False,False,-999.0,-999.0,-999.0,-999.0,-1,-1
14274,3,195013,540,791562479,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,21,0.074388355,0.06001282,0.25428134,4,3.038295,-1.5642557,-1.1689353,0.10565837,-1,-999.0,-999.0,False,False,-999.0,-999.0,-999.0,-999.0,-1,-1
14275,0,195013,540,791525807,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,True,True,False,False,18,0.07037558,0.062736906,6.435777,2,48.829456,0.739727,-3.0790186,0.10565837,-1,0.030436829,0.030436829,True,True,0.00012461684,0.0011763388,-0.00055310363,0.002526672,-1,-1
14275,1,195013,540,791525807,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,True,True,False,False,18,0.07037558,0.062736906,6.435777,2,42.27797,-0.101327255,0.08405503,0.10565837,1,0.0,0.013064381,True,True,-2.5753923e-05,0.0011047896,0.004756136,0.0037720806,-1,-1
